ident,nome,tipo,conteudo,res
<http://www.nima.puc-rio.br/lattes/8492570672786593#P372>,Perspectivas contemporâneas da teoria e da prática em Psicologia,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4050531329577872#P4373>,Análise de estruturas pneum'ticas considerando o acoplamento pressão-volume e modelos de materias não lineares,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0427692772445368#P45>,A Dynamic Integration Model for Componentware Systems,Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaPSI1606>,[PSI1606] OBSERVACAO E ENTREVISTA,Course,Reflexão sobre o que é observar e entrevistar. Introdução à prática psicoterapêutica. Introdução as diferentes técnicas de observação e entrevista. Treinamento observacional. Treinamento de tipos diferentes de entrevista. ,False
<http://www.nima.puc-rio.br/lattes/8613185159485244#P533>,"Ágnes Heller, the Philosopher of the Existential Choice: a Concrete Utopian Freedom of an Authentic Personality",Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8934962824316146#P389>,A Comparison of Statistical and Fuzzy Approaches for Cascade Classification of Multitemporal Remote Sensing images,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3248166666175748#P141>,Electronic circuit for excitation of inductive loads with high currents,Article,10.1049/el.2015.2587,False
<http://www.nima.puc-rio.br/lattes/1587027724745056#P31>,Alegoria do drama moderno,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4415817897120454#P330>,Desenvolvimento e Caracterização de um Transdutor Magnético Baseado no Fenômeno da Magnetoimpedância Gigante,Thesis,sem DOI ou ementa,False
_:bC87DAD9Dx23402,20 Anos da Constituição Cidadã de 1988 - Efetivação ou Impasse Institucional?,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0400232298849115#P516>,Design Rationale in the Triplification of Relational Databases,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0095031067497364#P96>,Influência do país de origem na percepção dos compradores organizacionais de alguns produtos alimentícios.,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1304606076487440#P1>,Modelagem Numerica da Ruptura de Materiais Frageis Heterogeneos,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7036137303246485#P282>,Virtual navigation for the improvement of parents counseling and the planning of fetal endoscopic myelomeningocele repair,Article,10.1007/s00381-020-04961-4,False
<http://www.nima.puc-rio.br/lattes/5280805567151610#P189>,Vinpocetine increase phosphorylation of CREB and restores orientation selectivity in a ferret model of fetal alcohol spectrum disorder,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9010080809442799#P283>,Falange,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2491891766759477#P1240>,Simulação de Projetos de Software baseado em Sistemas Multi-Agentes,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0818273339577951#P178>,Ahorro y inversión en Latinoamérica,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7122230765885769#P506>,"Comunicação Através de Mensagens de SMS: Análise comparativa entre assinantes e não assinantes Sobre os Atributos, conteúdos e formatos do Serviço.",Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaBIO1126>,[BIO1126] DIV ORGANIS FOTOSSINTETIZANTES,ccso,"Origem e diversificação dos seres fotossintetizantes; origem e diversidade de Cianobactéricas, microalgas e macroalgas; origem e evolução das Embriófitas; biologia e diversidade de hepáticas, antóceros e musgos; origem e evolução das plantas vasculares; biologia e diversidade de samambaias e licófitas. ",True
<http://www.nima.puc-rio.br/lattes/4248298461741549#P124>,A Pesquisa de Tendências - uma orientação estratégica no design de Jóias,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8270031516279454#P299>,"Tu Me Ensina a Fazer Renda?, Eu Te Ensino a Trabalhar: A Organização do Trabalho de uma Cooperativa Popular",Article,sem DOI ou ementa,False
_:b89B4D802x254312,Building on a Construct,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9900625695933750#P441>,Sistema automatizado para mapeamento de corpos estranhos ferromagnéticos utilizando magnetômetro GMI,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7271092616184477#P595>,Pistas morfológicas e sintáticas na delimitação de adjetivos como adjuntos na aquisição do PB,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4960734561594746#P1138>,Apresentação-Pensando as Favelas Cariocas,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0783980588146405#P7>,?FILME RETRATA ÍDOLO DA MÚSICA POPULAR COM SUAS CONTRADIÇÕES E ANGÚSTIAS?,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8822284125037565#P177>,The most frequently used tests for assessing executive functions in aging,Article,10.1590/1980-57642015dn92000009,False
<http://www.nima.puc-rio.br/lattes/8265116967095452#P324>,Determination of Segment Limits in ECG Signals Using MLP Neural Networks,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2544637819098374#P604>,Reactive Dynamics Caused by Impulsive Forces,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9542120311882103#P458>,"Relações de investimento parental, sexo, orientação sexual e irrestrição sociossexual",Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4346454183159838#P17>,Uma análise crítica sobre a aplicação do e-learning na educação musical,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3593463741658057#P37>,Proof and proving,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1533221556876080#P19>,"Book Review: CONFLICT AND PEACE STUDIES Oded Lowenheim, Predators and Parasites. Persistent Agents of Transnational Harm and Great Power Authority (Ann Arbor, MI: University of Michigan Press, 2007, 280 pp., $25.95 pbk.)",Article,10.1177/03058298080370011106,False
<http://www.nima.puc-rio.br/lattes/8934962824316146#P568>,A Comparison Of Fully Convolutional And Recurrent Networks For Multi-Temporal Crop Recognition Using SAR Images,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/6812712541815164#P172>,Considerações sobre desenvolvimento e apredizagem: abrindo o debate,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/6338514580120246#P34298>,Properties of Gaussian Radial Basis Functions in the Dual Reciprocity Boundary Element Method,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8068674011748482#P47>,Theoretical And Experimental Investigation Of Millimeter Wave Phase Fluctuation In An Absorption Region,Article,10.1007/BF01013027,False
<http://www.nima.puc-rio.br/lattes/9051448517375421#P591>,Joint Detection and Channel Estimation Based on Sparse Representation for LTE Systems,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8588362716481924#P11>,Polarisation control schemes for fibre-optics quantum communications using polarisation encoding,Article,10.1049/el:20083122,False
<http://www.nima.puc-rio.br/lattes/1985403383641805#P75>,La Sociologie Culturelle,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2076970816486817#P306>,Intelligent Systems in Oil Field Development under Uncertainty,Chapter,10.1007/978-3-540-93000-6_3,True
<http://www.nima.puc-rio.br/lattes/3590099965532014#P130>,Hybrid Boundary Element Method in Acoustics,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7337224839208493#P409>,O sentido indizível em psicanálise: trauma e regressão terapêutica em uma perspectiva relacional,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/5761908797789896#P541>,Corpos Desaparecidos: Guerra e Resistência no Brasil,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2871208795799633#P80>,Por que não deve ser extinta a defesa prévia nas ações de improbidade,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4065885784122484#P74>,Uso de redes no decorrer do processo de internacionalização: estudo longitudinal no setor de software.,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1157387460616007#P434>,Direito do Comercio Internacional: Alguns Problemas,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1442907381860300#P532>,A observação do comportamento do usuário para o wayfinding no ambiente construído,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0992703275755010#P493>,"Objetivos Múltiplos, Métodos Múltiplos",Chapter,sem DOI ou ementa,False
_:b89B4D802x99499,LEITURAS EM TEORIA DA ARQUITETURA 3. OBJETOS,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/6992824817295435#P41>,Fator de Bayes e Uma Nova Abordagem Na Formulacao Bayesiana de Estados Multiplos,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8265116967095452#P292>,Assistance in KDD Goal Definition Process,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/5457197162245079#P1288>,An Efficient Strategy for Solving Structural Nonlinear Equations by Combining the Orthogonal Residual Method and Normal Flow Technique,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2491891766759477#P186>,A Model for Gluing Components,Article,sem DOI ou ementa,False
_:b89B4D802x202625,EaD Online: suportes e leituras,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7476904353230115#P647>,Influência de Aspectos 3D no Regime de Fluxo em Encostas,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/9047349756866961#P447>,1H NMR Spectroscopy and Multiple Linear Regression (MLR) to predict properties od diesel oil,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/6388594724411404#P70>,ANIMATION A World History,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3724041772362280#P318>,Flotação de Cr III Aplicada ao Tratamento de Efluentes Líquidos,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9914278441730955#P465>,"Sucessão florestal e grupos ecológicos em floresta atlântica de encosta, Ilha Grande, Angra dos Reis / RJ",Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/9915761557849189#P757>,POTENCIALIDADES TURÍSTICAS E HISTÓRICO-GEOGRÁFICAS DO CENTRO DE FORTALEZA CAMINHOS ANTIGOS E PERCURSOS ATUAIS. In: PROJETO TURISMO SERTANEJO,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/9705170158456125#P671>,DIC Analysis for Crack Closure Investigations During Fatigue Crack Growth Following Overloads,Chapter,10.1007/978-3-319-51439-0_36,False
<http://www.nima.puc-rio.br/lattes/9222024053983021#P486>,Mining the Criminal Data of Rio de Janeiro: Analyzing the Impact of the Pacifying Police Units Deployment,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0564899246574184#P599>,A study of the partition of elements between austenite and ferrite in conditions similar to the treatment of trip steels,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4440704137177308#P4>,Fatores que Influenciam o Desempenho das Firmas: um Modelo Integrativo,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3911296847035628#P5>,"Puzzling, and puzzling about puzzle development",Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2544637819098374#P91>,Envelhecimento Facial por Gravidade,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2129326437841299#P549>,"Para além da identidade. Fluxos, movimentos e trânsitos",Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8068674011748482#P278>,Some Results of Effective Ground Conductivity for São Paulo,Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaENG1436>,[ENG1436] EFICIENCIA ENERGETICA,Course,"Fontes alternativas de energia, energia e meio ambiente, certificação de emissões evitadas, tarifação de energia elétrica, demanda de energia na indústria, comércio e serviços, conservação de sistemas térmicos e hidráulicos, o papel do procel e do conpet, diagnostico energético, planejamento energético, projetos de GLP (gerenciamento pelo lado da demanda), as PPHs (pesquisas de posses e hábitos de uso de aparelhos elétricos). ",True
<http://www.nima.puc-rio.br/lattes/2540733672905515#P825>,An interactive user interface for a structural analysis software using computer graphics techniques in MATLAB,Article,10.1002/cae.22406,False
_:bC87DAD9Dx179867,"Social Innovation, the Social Economy and World Economic Development - Democracy and Labour Rights in an era of Globalization",Book,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaGEO2205>,[GEO2205] REPRESENTACOES ESPACO URBANO,ccso,"As formulações teóricas acerca do espaço urbano; a (re)produção do espaço dentro da perspectiva aberta pelo materialismo histórico-geográfico; o urbano como condição geral de realização do processo de reprodução do capital e, simultaneamente, produto desse processo; o papel das representações na construção do urbano. ",True
<http://www.nima.puc-rio.br/lattes/4092839500766104#P168>,Produção e caracterização de nano partículas do sistema Ti-N-O via reação na fase vapor.,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1920110904979912#P74>,A Linguagem Na História: Um Exame Histórico das Relações Entre A Filosofia e A Ciência da Linguagem.,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8505896524151702#P166>,Indagando os ?modos de ver? da política urbana: o problema público do crescimento urbano na cidade do Rio de Janeiro,Article,10.22409/GEOgraphia2019.v21i46.a28590,True
_:bC87DAD9Dx291958,No próximo bloco... O jornalismo brasileiro na TV e na Internet,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4766920066799526#P614>,Filosofia contemporânea da arte,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1548806483243192#P122>,A conjuntura brasileira em dez pontos,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4092839500766104#P267>,Caracterização de biocarvões e suas capacidades de retenção de nutrientes,Thesis,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/1016382585372214#P1283>,CRISE PANDÊMICA & DIREITOS HUMANOS FUNDAMENTAIS VOLUME I: DIREITOS CIVIS E POLÍTICOS (TOMO III),Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2491891766759477#P73>,Building The Hci Of Hypermedia Applications. The Abstract Data Views Approach,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1721981607189967#P766>,PARTICIPAÇÃO POPULAR NA REGULAÇÃO DE UM SISTEMA DE ESGOTAMENTO SANITÁRIO NO MUNICÍPIO DO RIO DE JANEIRO,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/7538936412559010#P635>,Direito à cidade: Paisagem Urbana como Princípio de Interpretação da Norma Urbanística,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/3475085618680340#P85>,O retrato verbal,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/5297074319265251#P244>,Open government data in Brazil,Article,10.1109/mis.2012.25,False
<http://www.nima.puc-rio.br/lattes/8194466311190528#P311>,Estudo de complexos beta-dicetonatos de Túlio e Európio para aplicações em OLEDs,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2592695555557613#P249>,"Memoria, identidad y trajetoria: un analisess comparada de história de vida de elites y de clases populares",Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8402567216155554#P62>,Recycling of Residues from Integrated Steelmaking Plants by Self-Reducing Briquettes,Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/5462014719461367#P429>,UCD: Influenced by an Organizational Culture and Its Maturity,Chapter,10.1007/978-3-319-91238-7_2,False
<http://www.nima.puc-rio.br/lattes/2205460922551603#P38>,"Desconfiança Institucionalizada, democracia monitorada e Instituições Superiores de Controle no Brasil",Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0088939094557856#phdthesis3>,"1989, um país de cabeça para baixo: o Brasil e a economia mundial no ano da virada - uma análise política de representações midiatizadas",Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3872959198627868#P128>,Enfatizando os Resultados: O Que Fazer Para Garantir Maior Vínculo Entre Planejamento e Execução,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/5759390269150948#P125>,Estratégias projetuais contemporâneas. Sobre a tectônica na arquitetura paulista,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7195771322221157#P522>,Pré-vestibular comunitário Bonsucesso: A formação e prática docente no contexto das novas expressões do voluntariado,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1442907381860300#P447>,O uso da tecnologia de comunicação pela terceira idade e sua socialização,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9900625695933750#P226>,Design & Development of a Standard for HVDC Voltage Up to 50kV,Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaENG1551>,[ENG1551] ESTRATEGIA DA PRODUCAO,ccso,"Gerência de Operações em Manufatura e Serviços. Produtividade e Competitividade. Conexão entre Gerência de Operações e outras Áreas. Escolhas Estratégicas. Análise de Mercado. Prioridades Competitivas e Gerência de Operações. Ciclo de Vida do Produto. Estratégia de Posicionamento. Estratégia de Manufatura. Escolha dos Processos Produtivos. Integração Vertical, Flexibilidade, Intensidade de Capital e Economia de Escala. Tecnologia e Estratégia. ",False
<http://www.nima.puc-rio.br/lattes/7454736736043931#P329>,Um sistema híbrido semi-imersivo de baixo custo para interações 2D-3D,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2640316561873790#P272>,Considerações sobre o direito ao acompanhante e a violência obstétrica,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8249534204731109#P302>,Adaptive storytelling based on personality and preference modeling,Article,10.1016/j.entcom.2020.100342,False
<http://www.nima.puc-rio.br/lattes/0348074510343282#P132>,A Multicriteria Approach to Sort Time Series Models Applied to Stochastic Scenarios Generation,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4700682985286290#P10>,A luta do jornalismo entre a independência e o interesse dos financiadores,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2491891766759477#P1006>,Ferramentas de Integração Contínua tornando o Trabalho de Equipes mais Organizado,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4766920066799526#P335>,A constelação vida: política e linguagem na juventude de Walter Benjamin,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8809843174160878#P559>,A new algorithm for identifying the flavour of B</i> 0</sup> s</i> </sub> mesons at LHCb,Article,10.1088/1748-0221/11/05/p05010,False
<http://www.nima.puc-rio.br/lattes/8876586178975018#P96>,From equals to despots: The dynamics of repeated decision making in partnerships with private information,Article,10.1016/j.jet.2019.03.007,False
<http://www.nima.puc-rio.br/lattes/3500104366301286#P141>,O Mercado Futuro de DI :Distinções Teóricas e Empíricas em Relação à Mercados Futuros Tradicionais,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4651584484744156#P34>,O estatuto contemporâneo da parentalidade,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9296271539553161#P9>,"Extended, monolayer flat islands and exciton dynamics in As/InP quantum-well structures",Article,10.1103/PhysRevB.47.2203,False
<http://nima.puc-rio.br/cad-puc#disciplinaINF1032>,[INF1032] INTRODUCAO A CIENCIA DOS DADOS,ccso,"Introdução à Ciência dos Dados (Data Science). Coleta de dados de diferentes fontes.  Preparação dos dados para análise. Exploração (numérica e visual) de dados. Métodos de modelagem e análise. Introdução a algoritmos de estimação de parâmetros e aprendizado de máquina. Apresentação de resultados utilizando dados, tabelas e gráficos. ",False
<http://www.nima.puc-rio.br/lattes/3449303767051626#P598>,Os sentidos de dignidade em Tomás de Aquino,Chapter,sem DOI ou ementa,False
_:b89B4D802x41940,O Futuro da Integração - Desenvolvimentos em Psicoterapia Breve,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2792865766795939#P205>,Determinação de criseno em cachaça por fosforimetria usando Ag como indutor seletivo,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1954445820445997#P35>,Saúde Reprodutiva e Cidadania,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7602313320676345#P165>,Do direito à boa Administração ao dever de administrar bem: por uma análise vinculante de políticas públicas na perspectiva dos evolucionismos educacionais,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2491891766759477#P805>,Tratamento de Exceções Sensível ao Contexto,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1259500926303809#P724>,A Novel Mechanical Fatigue Test Machine based on Rotating Beams,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/4519397742415584#P376>,Os eixos do cuidado na primeira infância,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/6338514580120246#P34402>,Direct numerical simulation of the near-field dynamics of annular gas-liquid two-phase jets,Article,10.1063/1.3112740,False
<http://www.nima.puc-rio.br/lattes/2254453960245715#P230>,Redução de atrito em escoamento laminar por lubrificação de parede com ranhuras,Thesis,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaLET2563>,[LET2563] ORIENTACAO DE POS-GRADUACAO,ccso,Disciplina sem ementa cadastrada.,False
<http://www.nima.puc-rio.br/lattes/2656428185505030#P39>,Um Sonho Renascentista: Leon Battista Alberti,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3169677185815847#P1>,"Antidumping, Subsídios e Medidas Compensatórias",Book,sem DOI ou ementa,False
_:bC87DAD9Dx83733,Estudos Culturais: legado e apropriações,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3833374955831745#P666>,A notícia e a lógica das sensações: uma contribuição para as teorias do jornalismo,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/5431353664068543#P121>,Proposta Metodológica para Alocação dos Custos de Transmissão em Mercados de Energia Elétrica,Thesis,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/6579798139952341#P454>,As -coisas- em seus devidos lugares,Article,10.30962/ec.1926,False
<http://www.nima.puc-rio.br/lattes/7280514973295378#phdthesis6>,Logica e Empiria: considerações sobre a Técnica e o Projeto Moderno de Arquitetura no Brasil,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9515165432634800#P58>,A sociologia do direito do Brasil,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0010848295031388#P639>,Displacing difficult yield stress fluids from pipes,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2656428185505030#P650>,A presença franciscana no sudeste brasileiro: as relações entre ordem religiosa e desenvolvimento da cidade do Rio de Janeiro,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8855081325345654#P388>,Option Pricing under a Nonlinear and Nonnormal GARCH,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7505898233930008#P436>,GESTÃO DO TRABALHO NA ASSISTÊNCIA SOCIAL - ESTUDO EM DUAS METRÓPOLES BELO HORIZONTE E RIO DE JANEIRO,Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaELE3221>,[ELE3221] ESTAGIO DOCENCIA NA GRADUACAO,Course,"Aperfeiçoamento da formação de estudantes de pós-graduação para o exercício da docência em nível superior, mediante a realização de atividades desenvolvidas em disciplina de graduação sob a responsabilidade de um professor designado pelo departamento, supervisionadas pelo orientador e aprovadas pela coordenação do programa de pós-graduação e pelo coordenador de graduação. ",False
<http://www.nima.puc-rio.br/lattes/7505898233930008#P328>,Assistência Social e Direitos Humanos: Textos e Contextos da Política de Assistência Social no Brasil,Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1785242776254374#P212>,A imagem de Deus em Andrés Torres Queiruga,Thesis,sem DOI ou ementa,False
